Document_ID,Provinsi,Kategori_Isu,Text,clean,Token,Normalisasi,stopwords,stemmer,Berita,Topik_Dominan,Probabilitas_Topik
D001,Aceh,Kekurangan Surat Suara,Kekurangan surat suara gubernur sebanyak 622 lembar pada tahap pelipatan logistik pemilu.,kekurangan surat suara gubernur sebanyak lembar pada tahap pelipatan logistik pemilu,kekurangan surat suara gubernur sebanyak lembar pada tahap pelipatan logistik pemilu,kekurangan surat suara gubernur sebanyak lembar pada tahap pelipatan logistik pemilu,kekurangan surat suara gubernur sebanyak lembar tahap pelipatan logistik pemilu,kurang surat suara gubernur banyak lembar tahap lipat logistik milu,kurang surat suara gubernur banyak lembar tahap lipat logistik milu,Topik 3,0.9203001693036249
D002,Aceh,Kelebihan Surat Suara,Kelebihan surat suara gubernur sebanyak 142 lembar setelah pengepakan logistik.,kelebihan surat suara gubernur sebanyak lembar setelah pengepakan logistik,kelebihan surat suara gubernur sebanyak lembar setelah pengepakan logistik,kelebihan surat suara gubernur sebanyak lembar setelah pengepakan logistik,kelebihan surat suara gubernur sebanyak lembar pengepakan logistik,lebih surat suara gubernur banyak lembar epak logistik,lebih surat suara gubernur banyak lembar epak logistik,Topik 3,0.9026882574836581
D003,Aceh,Kekurangan Surat Suara,Kekurangan surat suara walikota sebanyak 347 lembar pada proses pelipatan.,kekurangan surat suara walikota sebanyak lembar pada proses pelipatan,kekurangan surat suara walikota sebanyak lembar pada proses pelipatan,kekurangan surat suara walikota sebanyak lembar pada proses pelipatan,kekurangan surat suara walikota sebanyak lembar proses pelipatan,kurang surat suara walikota banyak lembar proses lipat,kurang surat suara walikota banyak lembar proses lipat,Topik 3,0.7918605166715618
D004,Aceh,Kelebihan Surat Suara,Kelebihan surat suara walikota sebanyak 368 lembar pada tahap pengepakan.,kelebihan surat suara walikota sebanyak lembar pada tahap pengepakan,kelebihan surat suara walikota sebanyak lembar pada tahap pengepakan,kelebihan surat suara walikota sebanyak lembar pada tahap pengepakan,kelebihan surat suara walikota sebanyak lembar tahap pengepakan,lebih surat suara walikota banyak lembar tahap epak,lebih surat suara walikota banyak lembar tahap epak,Topik 3,0.9027496029836519
D005,Aceh,Kerusakan Logistik,Ditemukan 5 kotak suara dalam kondisi rusak saat penerimaan logistik.,ditemukan kotak suara dalam kondisi rusak saat penerimaan logistik,ditemukan kotak suara dalam kondisi rusak saat penerimaan logistik,ditemukan kotak suara dalam kondisi rusak saat penerimaan logistik,ditemukan kotak suara kondisi rusak penerimaan logistik,temu kotak suara kondisi rusak terima logistik,temu kotak suara kondisi rusak terima logistik,Topik 4,0.3541946600677305
D006,Aceh,Kekurangan Perlengkapan TPS,Kekurangan tanda pengenal KPPS sebanyak 21 set.,kekurangan tanda pengenal kpps sebanyak set,kekurangan tanda pengenal kpps sebanyak set,kekurangan tanda pengenal kpps sebanyak set,kekurangan tanda pengenal kpps sebanyak set,kurang tanda kenal kpps banyak set,kurang tanda kenal kpps banyak set,Topik 3,0.7083333169025484
D007,Aceh,Kekurangan Perlengkapan TPS,Kekurangan kantong plastik sedang sebanyak 5 buah.,kekurangan kantong plastik sedang sebanyak buah,kekurangan kantong plastik sedang sebanyak buah,kekurangan kantong plastik sedang sebanyak buah,kekurangan kantong plastik sedang sebanyak buah,kurang kantong plastik sedang banyak buah,kurang kantong plastik sedang banyak buah,Topik 3,0.7812499812973166
D008,Aceh,Kelebihan Perlengkapan TPS,Kelebihan kabel ties sebanyak 38 buah.,kelebihan kabel ties sebanyak buah,kelebihan kabel ties sebanyak buah,kelebihan kabel ties sebanyak buah,kelebihan kabel ties sebanyak buah,lebih kabel ties banyak buah,lebih kabel ties banyak buah,Topik 3,0.7812499794248378
D009,Aceh,Kelebihan Perlengkapan TPS,Kelebihan template tuna netra walikota sebanyak 4 buah.,kelebihan template tuna netra walikota sebanyak buah,kelebihan template tuna netra walikota sebanyak buah,kelebihan template tuna netra walikota sebanyak buah,kelebihan template tuna netra walikota sebanyak buah,lebih template tuna netra walikota banyak buah,lebih template tuna netra walikota banyak buah,Topik 3,0.8249999833466636
D010,Aceh,Kelebihan Formulir,Kelebihan formulir C Hasil Salinan Walikota sebanyak 8 rangkap.,kelebihan formulir c hasil salinan walikota sebanyak rangkap,kelebihan formulir c hasil salinan walikota sebanyak rangkap,kelebihan formulir c hasil salinan walikota sebanyak rangkap,kelebihan formulir hasil salinan walikota sebanyak rangkap,lebih formulir hasil salin walikota banyak rangkap,lebih formulir hasil salin walikota banyak rangkap,Topik 3,0.8249792287473472
D011,Bali,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan Tahun 2024.,pengawasan distribusi logistik pemilu dan pemilihan tahun,pengawasan distribusi logistik pemilu dan pemilihan tahun,pengawasan distribusi logistik pemilu dan pemilihan tahun,pengawasan distribusi logistik pemilu pemilihan tahun,awas distribusi logistik milu pilih tahun,awas distribusi logistik milu pilih tahun,Topik 2,0.8748700210958897
D012,Bali,Pengadaan Logistik,Monitoring pengadaan logistik Pemilu dan Pilkada Tahun 2024.,monitoring pengadaan logistik pemilu dan pilkada tahun,monitoring pengadaan logistik pemilu dan pilkada tahun,monitoring pengadaan logistik pemilu dan pilkada tahun,monitoring pengadaan logistik pemilu pilkada tahun,monitoring ada logistik milu pilkada tahun,monitoring ada logistik milu pilkada tahun,Topik 1,0.8748985962176131
D013,Bali,Kekurangan Logistik,Temuan ketidaksesuaian jumlah logistik pada tingkat TPS.,temuan ketidaksesuaian jumlah logistik pada tingkat tps,temuan ketidaksesuaian jumlah logistik pada tingkat tps,temuan ketidaksesuaian jumlah logistik pada tingkat tps,temuan ketidaksesuaian jumlah logistik tingkat tps,temu ketidaksesuaian jumlah logistik tingkat tps,temu ketidaksesuaian jumlah logistik tingkat tps,Topik 6,0.8541065779761287
D014,Bali,Distribusi Logistik,Pengawasan distribusi surat suara ke wilayah kabupaten/kota.,pengawasan distribusi surat suara ke wilayah kabupaten kota,pengawasan distribusi surat suara ke wilayah kabupaten kota,pengawasan distribusi surat suara ke wilayah kabupaten kota,pengawasan distribusi surat suara wilayah kabupaten kota,awas distribusi surat suara wilayah kabupaten kota,awas distribusi surat suara wilayah kabupaten kota,Topik 7,0.8905240588682644
D015,Bali,Administrasi Logistik,Pengawasan administrasi dan pelaporan logistik Pemilu 2024.,pengawasan administrasi dan pelaporan logistik pemilu,pengawasan administrasi dan pelaporan logistik pemilu,pengawasan administrasi dan pelaporan logistik pemilu,pengawasan administrasi pelaporan logistik pemilu,awas administrasi lapor logistik milu,awas administrasi lapor logistik milu,Topik 5,0.8248345114633056
D016,Bali,Logistik TPS,Monitoring perlengkapan TPS pada tahapan pemungutan suara.,monitoring perlengkapan tps pada tahapan pemungutan suara,monitoring perlengkapan tps pada tahapan pemungutan suara,monitoring perlengkapan tps pada tahapan pemungutan suara,monitoring perlengkapan tps tahapan pemungutan suara,monitoring lengkap tps tahap mungut suara,monitoring lengkap tps tahap mungut suara,Topik 4,0.7026312038879486
D017,Bali,Keterlambatan Distribusi,Distribusi logistik mengalami keterlambatan ke beberapa wilayah.,distribusi logistik mengalami keterlambatan ke beberapa wilayah,distribusi logistik mengalami keterlambatan ke beberapa wilayah,distribusi logistik mengalami keterlambatan ke beberapa wilayah,distribusi logistik mengalami keterlambatan beberapa wilayah,distribusi logistik alami lambat beberapa wilayah,distribusi logistik alami lambat beberapa wilayah,Topik 7,0.8248914997281372
D018,Bali,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pilkada Tahun 2024.,laporan akhir pengawasan logistik pemilu dan pilkada tahun,laporan akhir pengawasan logistik pemilu dan pilkada tahun,laporan akhir pengawasan logistik pemilu dan pilkada tahun,laporan akhir pengawasan logistik pemilu pilkada tahun,lapor akhir awas logistik milu pilkada tahun,lapor akhir awas logistik milu pilkada tahun,Topik 5,0.7082324148039503
D019,Bali,Evaluasi Logistik,Evaluasi pengelolaan logistik Pemilu dan Pilkada Tahun 2024.,evaluasi pengelolaan logistik pemilu dan pilkada tahun,evaluasi pengelolaan logistik pemilu dan pilkada tahun,evaluasi pengelolaan logistik pemilu dan pilkada tahun,evaluasi pengelolaan logistik pemilu pilkada tahun,evaluasi kelola logistik milu pilkada tahun,evaluasi kelola logistik milu pilkada tahun,Topik 1,0.7264699731978603
D020,Bangka Belitung,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pilkada Bangka Belitung.,pengawasan distribusi logistik pemilu dan pilkada bangka belitung,pengawasan distribusi logistik pemilu dan pilkada bangka belitung,pengawasan distribusi logistik pemilu dan pilkada bangka belitung,pengawasan distribusi logistik pemilu pilkada bangka belitung,awas distribusi logistik milu pilkada bangka belitung,awas distribusi logistik milu pilkada bangka belitung,Topik 2,0.6064362987503229
D021,Bangka Belitung,Pengadaan Logistik,Monitoring pengadaan logistik Pemilu Tahun 2024.,monitoring pengadaan logistik pemilu tahun,monitoring pengadaan logistik pemilu tahun,monitoring pengadaan logistik pemilu tahun,monitoring pengadaan logistik pemilu tahun,monitoring ada logistik milu tahun,monitoring ada logistik milu tahun,Topik 1,0.8540220054057642
D022,Bangka Belitung,Keterlambatan Distribusi,Terdapat keterlambatan distribusi logistik ke wilayah tertentu.,terdapat keterlambatan distribusi logistik ke wilayah tertentu,terdapat keterlambatan distribusi logistik ke wilayah tertentu,terdapat keterlambatan distribusi logistik ke wilayah tertentu,terdapat keterlambatan distribusi logistik wilayah tertentu,dapat lambat distribusi logistik wilayah tentu,dapat lambat distribusi logistik wilayah tentu,Topik 7,0.8248914997281372
D023,Bangka Belitung,Kekurangan Logistik,Ditemukan kekurangan logistik pada tahapan distribusi.,ditemukan kekurangan logistik pada tahapan distribusi,ditemukan kekurangan logistik pada tahapan distribusi,ditemukan kekurangan logistik pada tahapan distribusi,ditemukan kekurangan logistik tahapan distribusi,temu kurang logistik tahap distribusi,temu kurang logistik tahap distribusi,Topik 6,0.42504621596753656
